C[CH]1C[CH](NC(=O)C=C[CH](C)OC(C)=O)[CH](C)O[CH]1CC=C(C)C=C[CH]2CC(=CC(=O)O2)C,07I
Oc1nc(SCc2cccnc2C#N)c3COCCc3c1C#N,07M
Cc1[nH]c(C(=O)N[CH]2CCN(C[CH]2F)c3sc(cn3)C(O)=O)c(Cl)c1Cl,07N
C[CH](C(=O)SC[CH](N)C(O)=O)c1ccccc1,07O
COc1cccc(c1)[CH](C)NC(=O)Nc2scc(n2)c3ccncc3,07Q
Oc1cccc(CNC(=O)Nc2scc(n2)c3ccncc3)c1,07R
O=C(CN1CCN(CC1)c2ccnc(Nc3sc(cn3)c4cccnc4)c2)N5CCOCC5,07S
Cn1c2cc(sc2c3C=NN(Cc4cccc(N)c4)C(=O)c13)[S](C)=O,07T
CC(C)(N)CNc1nc(cc2cnccc12)c3ccncc3,07U
Nc1nc(Nc2ccc(cc2)C(O)=O)sc1C(=O)c3cccnc3,07Z
COc1ccc2c(onc2N3C(=O)N(Cc4cccc(c4)[C]5(C)OC(=O)NC5=O)c6ccccc36)c1,082
Cc1cc(C)nc(n1)C(N)=Nc2nc(cc3ccccc23)c4ccccn4,083
NC(=O)c1ccc(cc1)c2[nH]c(c3ccc4OCOc4c3)c(n2)c5ccccn5,085
Cc1[nH]c(C(=O)NC2CCN(CC2)c3cc(cc(Cl)n3)C(N)=O)c(Cl)c1Cl,087
CCn1nnc2c(C)c(ccc12)[CH](CC(O)=O)c3cc(C)c4CCN(Cc4c3)C(=O)c5ccccc5,08A
Cc1[nH]c(cc1Br)C(=O)NC2CCN(CC2)c3ncccc3[N+]([O-])=O,08B
COc1ccc(cc1)C2=Nc3ccccc3C(=O)N2,08C
Cc1onc(N[S](=O)(=O)c2ccc(N)cc2)c1,08D
Nc1cc(Cn2c3ccc(Cl)cc3c(C4=CC=CNC4=O)c2C(O)=O)ccn1,08E
Cc1nnc2CN=C(c3ccccc3)c4cc(Cl)ccc4n12,08H
Cc1ncc2CN=C(c3ccccc3F)c4cc(Cl)ccc4n12,08J
CN1N=C(c2ccccc2)c3cc(Cl)ccc3n4c(C)nnc14,08K
N[CH](CCCNC(=O)c1cnccn1)C(O)=O,08M
CC(C)c1sc(N[S](=O)(=O)c2ccc(CCNC(=O)c3sc4cc(F)ccc4c3Cl)cc2)nn1,08S
CNC(=O)c1cn(cn1)c2cc3c(NC(=O)N(N[S](C)(=O)=O)C3=O)cc2C(F)(F)F,08W
NC(=O)c1ccc(Nc2sc(c(N)n2)C(=O)c3cccnc3)cc1,08Z
COc1ccc2c3[nH]cc[n+]3c(NC(=O)c4cccnc4)nc2c1OC,090
COC(=O)[CH]1C[C]2(CN1)C(=O)Nc3ccccc23,092
CC(=O)N=C1NC(=C(S1)c2ccc(Cl)c(c2)[S](=O)(=O)NCCO)C,093
O=C(OC1CCOCC1)[CH]2C[C]3(CN2)C(=O)Nc4ccccc34,095
COc1cc([CH]2SCC(=O)N2c3cccnc3)c(CCCN4CCN(C)CC4)cc1O,096
CNC(=O)[CH](NC(=O)[CH](CC(C)C)[CH](O)C(=O)NO)C(C)(C)C,097
ONC(=O)C[CH](Cc1cccc(O)c1)C(=O)N[CH]2[CH](O)Cc3ccccc23,099
O=C(OCc1ccccc1)[CH]2C[C]3(CN2)C(=O)Nc4ccccc34,09A
O=C1Nc2ccccc2[C]13CN[CH](C3)C(=O)OCc4ccc(cc4)C#N,09B
Brc1ccc2c([nH]cc2[CH]3CNC(=O)[CH](N3)c4c[nH]c5cc(Br)ccc45)c1,09C
Brc1ccc2SCC[CH](OC(=O)[CH]3C[C]4(CN3)C(=O)Nc5ccccc45)c2c1,09D
Brc1ccc2c(c1)[CH](CC[S]2(=O)=O)OC(=O)[CH]3C[C]4(CN3)C(=O)Nc5ccccc45,09E
O=C1Nc2ccccc2[C]13CN[CH](C3)C(=O)OC4(CCCCC4)C#N,09F
Brc1cc(COC(=O)[CH]2C[C]3(CN2)C(=O)Nc4ccccc34)ccc1C#N,09G
O=C(Nc1ccccc1N2CCNCC2)c3csc(n3)c4ccc5OCCc5c4,09H
NC(=N)NC(=O)c1nc(c2oc3cccc(F)c3c2)c(nc1N)N4CCCCCC4,09I
