#"Steps"	"Temperature (K)"	"298K Weight"	"322.602K Weight"	"349.235K Weight"	"378.066K Weight"	"409.278K Weight"	"443.067K Weight"	"479.645K Weight"	"519.243K Weight"	"562.109K Weight"	"608.515K Weight"	"658.752K Weight"	"713.136K Weight"	"772.01K Weight"	"835.745K Weight"	"904.741K Weight"	"979.433K Weight"	"1060.29K Weight"	"1147.83K Weight"	"1242.59K Weight"	"1345.17K Weight"	"1456.22K Weight"	"1576.44K Weight"	"1706.59K Weight"	"1847.48K Weight"	"2000K Weight"
46000	322.602	0	0.25	-0.75	-1	-1.5	-3.25	-4.25	-6.25	-7.5	-9	-10.5	-12.75	-14.5	-17.5	-19.75	-23	-24.5	-27.75	-30.25	-34.25	-36.75	-40.25	-43.25	-46.75	-50.25
47000	1060.29	0	0.5	-0.5	-1.25	-1.5	-3.25	-5.25	-7.25	-8	-9.75	-11.75	-13.75	-14.75	-17.75	-20	-22.75	-24.5	-27.5	-30	-34	-36.5	-40	-43	-46.5	-50
48000	979.433	0	0.5	-0.5	-1.5	-2.25	-3.75	-5.75	-7.75	-9.25	-10.5	-12.25	-14.75	-15.75	-18.75	-20.75	-23.25	-24.75	-27.75	-30.25	-34	-36.5	-40	-43	-46.5	-50
49000	772.01	0	0.5	-0.5	-1.5	-2.25	-3.75	-5.75	-7.75	-9.25	-10.75	-12.25	-15	-17.25	-19.5	-21.5	-24.25	-26.75	-28.75	-32	-34	-37	-40.25	-43	-46.5	-50
50000	772.01	0	0.5	-0.5	-1.5	-2.25	-3.75	-5.75	-7.75	-9.5	-10.75	-12.5	-15.25	-17.75	-19.5	-22	-25.25	-27.5	-30.25	-32.75	-35	-38.5	-40.75	-43.75	-46.75	-50.25
51000	443.067	0	0.5	-0.5	-1.5	-2.25	-4.25	-5.75	-7.75	-9.75	-11	-13.75	-15.25	-18.25	-20.75	-23.25	-25.75	-28.75	-31.75	-33.25	-35.75	-38.75	-40.75	-43.75	-46.75	-50.25
52000	298	0	0.25	-1	-1.5	-2.5	-4	-5.5	-7.25	-9.25	-10.75	-12.75	-14.25	-17.75	-19.75	-22.5	-24.75	-27.75	-30.75	-32.25	-34.75	-37.75	-39.75	-42.75	-45.75	-49.25
53000	562.109	0	0.75	0.75	0	-0.25	-1.5	-2.5	-4.5	-6.5	-7.75	-9.75	-11.25	-14.75	-16.75	-19.5	-21.75	-24.75	-27.75	-29.25	-31.75	-34.75	-36.75	-39.75	-42.75	-46.25
54000	409.278	0	1.25	1.25	1.75	1.25	1	0	-1.75	-3.75	-5	-7	-8.5	-12	-14	-16.75	-19	-22	-25	-26.5	-29	-32	-34	-37	-40	-43.5
55000	519.243	0	1	1.5	1.5	1.25	0.25	-0.25	-1.25	-3.25	-4.25	-6.5	-7.5	-11	-13	-15.75	-18	-21	-24	-25.5	-28	-31	-33	-36	-39	-42.5
