#"Steps"	"Temperature (K)"	"298K Weight"	"322.602K Weight"	"349.235K Weight"	"378.066K Weight"	"409.278K Weight"	"443.067K Weight"	"479.645K Weight"	"519.243K Weight"	"562.109K Weight"	"608.515K Weight"	"658.752K Weight"	"713.136K Weight"	"772.01K Weight"	"835.745K Weight"	"904.741K Weight"	"979.433K Weight"	"1060.29K Weight"	"1147.83K Weight"	"1242.59K Weight"	"1345.17K Weight"	"1456.22K Weight"	"1576.44K Weight"	"1706.59K Weight"	"1847.48K Weight"	"2000K Weight"
626000	979.433	0	0.265747	0.176758	-0.163208	-0.783081	-1.69556	-2.77197	-4.15479	-5.69995	-7.43884	-9.26733	-11.2449	-13.4374	-15.7809	-18.3102	-20.9993	-23.8051	-26.4875	-29.504	-32.4703	-35.5712	-38.6998	-41.8684	-45.2993	-48.5759
627000	1345.17	0	0.265747	0.176758	-0.163208	-0.783081	-1.69556	-2.77197	-4.15479	-5.69995	-7.43909	-9.26733	-11.2454	-13.438	-15.782	-18.3104	-20.9999	-23.8054	-26.488	-29.5045	-32.4706	-35.5712	-38.6998	-41.8684	-45.2993	-48.5759
628000	1706.59	0	0.265747	0.176758	-0.163208	-0.783081	-1.69556	-2.77197	-4.15479	-5.69995	-7.43909	-9.26733	-11.2454	-13.438	-15.782	-18.3104	-21.0002	-23.8055	-26.4884	-29.5049	-32.4711	-35.5719	-38.7004	-41.8691	-45.2999	-48.5764
629000	1847.48	0	0.265747	0.176758	-0.163208	-0.783081	-1.69556	-2.77197	-4.15479	-5.69995	-7.43909	-9.26733	-11.2454	-13.438	-15.782	-18.3104	-21.0002	-23.8055	-26.4886	-29.5054	-32.4718	-35.5723	-38.701	-41.87	-45.301	-48.5769
630000	1847.48	0	0.265747	0.176758	-0.163208	-0.783081	-1.69556	-2.77197	-4.15479	-5.69995	-7.43909	-9.26733	-11.2454	-13.438	-15.782	-18.3104	-21.0002	-23.8055	-26.4888	-29.5056	-32.472	-35.5728	-38.7026	-41.8704	-45.3016	-48.5781
631000	979.433	0	0.265747	0.176758	-0.163208	-0.783081	-1.69556	-2.77197	-4.15479	-5.69995	-7.43909	-9.26733	-11.2454	-13.438	-15.7821	-18.3104	-21.0005	-23.8057	-26.4889	-29.5059	-32.4731	-35.5737	-38.7032	-41.8707	-45.3026	-48.5781
632000	1847.48	0	0.265747	0.176758	-0.163208	-0.783081	-1.69556	-2.77197	-4.15479	-5.69995	-7.43909	-9.26733	-11.2454	-13.438	-15.7821	-18.3104	-21.0005	-23.806	-26.4897	-29.5062	-32.474	-35.5743	-38.704	-41.8711	-45.3031	-48.5784
633000	1060.29	0	0.265747	0.176758	-0.163208	-0.783081	-1.69556	-2.77197	-4.15479	-5.69995	-7.43909	-9.26733	-11.2454	-13.438	-15.7822	-18.3104	-21.001	-23.807	-26.4905	-29.5071	-32.4741	-35.5746	-38.7045	-41.8715	-45.3035	-48.5785
634000	979.433	0	0.265747	0.176758	-0.163208	-0.783081	-1.69556	-2.77197	-4.15479	-5.69995	-7.43909	-9.26733	-11.2454	-13.4381	-15.7827	-18.3108	-21.0017	-23.8076	-26.4912	-29.5079	-32.4747	-35.5748	-38.7046	-41.8715	-45.3035	-48.5785
635000	1847.48	0	0.265747	0.176758	-0.163208	-0.783081	-1.69556	-2.77197	-4.15479	-5.69995	-7.43909	-9.26733	-11.2454	-13.4381	-15.7827	-18.311	-21.0018	-23.8082	-26.4916	-29.5088	-32.4753	-35.5751	-38.7052	-41.8719	-45.304	-48.5787
636000	904.741	0	0.265747	0.176758	-0.163208	-0.783081	-1.69556	-2.77197	-4.15479	-5.69995	-7.43909	-9.26733	-11.2455	-13.4381	-15.7831	-18.3112	-21.002	-23.8086	-26.4923	-29.5093	-32.4758	-35.5754	-38.7057	-41.8724	-45.304	-48.5795
637000	1456.22	0	0.265747	0.176758	-0.163208	-0.783081	-1.69556	-2.77197	-4.15479	-5.69995	-7.43909	-9.26733	-11.2455	-13.4382	-15.7831	-18.3112	-21.0021	-23.8088	-26.4926	-29.51	-32.4769	-35.5759	-38.7064	-41.8732	-45.3041	-48.5797
638000	1456.22	0	0.265747	0.176758	-0.163208	-0.783081	-1.69556	-2.77197	-4.15479	-5.69995	-7.43909	-9.26733	-11.2455	-13.4382	-15.7831	-18.3113	-21.0021	-23.8092	-26.4932	-29.5106	-32.4777	-35.5767	-38.7069	-41.8733	-45.3047	-48.5802
639000	979.433	0	0.265747	0.176758	-0.163208	-0.783081	-1.69556	-2.77197	-4.15479	-5.69995	-7.43909	-9.26733	-11.2455	-13.4382	-15.7831	-18.3113	-21.0022	-23.8092	-26.4934	-29.5107	-32.478	-35.5779	-38.7078	-41.8741	-45.3048	-48.5812
640000	1456.22	0	0.265747	0.176758	-0.163208	-0.783081	-1.69556	-2.77197	-4.15479	-5.69995	-7.43909	-9.26733	-11.2455	-13.4382	-15.7831	-18.3113	-21.0023	-23.8092	-26.4939	-29.5112	-32.479	-35.579	-38.7086	-41.8744	-45.3054	-48.5812
641000	904.741	0	0.265747	0.176758	-0.163208	-0.783081	-1.69556	-2.77209	-4.15479	-5.7002	-7.43921	-9.26733	-11.2456	-13.4386	-15.7839	-18.312	-21.0032	-23.8099	-26.4943	-29.5114	-32.4792	-35.579	-38.7086	-41.8744	-45.3054	-48.5812
642000	658.752	0	0.265747	0.176758	-0.163208	-0.783081	-1.69568	-2.77234	-4.15491	-5.70044	-7.44019	-9.26807	-11.2461	-13.4392	-15.7845	-18.3121	-21.0038	-23.8099	-26.4943	-29.5114	-32.4792	-35.579	-38.7086	-41.8744	-45.3054	-48.5812
643000	904.741	0	0.265747	0.176514	-0.163208	-0.783203	-1.69617	-2.77246	-4.1554	-5.70081	-7.44104	-9.26868	-11.2465	-13.4396	-15.785	-18.3125	-21.0038	-23.8099	-26.4943	-29.5114	-32.4792	-35.579	-38.7086	-41.8744	-45.3054	-48.5812
644000	1060.29	0	0.265747	0.176514	-0.163208	-0.783203	-1.69617	-2.77283	-4.15552	-5.70081	-7.44141	-9.26892	-11.2473	-13.4403	-15.786	-18.3126	-21.0042	-23.8102	-26.4944	-29.5114	-32.4796	-35.579	-38.7086	-41.8744	-45.3054	-48.5812
645000	1847.48	0	0.265747	0.176514	-0.163208	-0.783203	-1.69617	-2.77283	-4.15552	-5.70081	-7.44141	-9.26904	-11.2474	-13.4404	-15.7863	-18.313	-21.0046	-23.8105	-26.4945	-29.5117	-32.4803	-35.5793	-38.7092	-41.8748	-45.3058	-48.5813
646000	1345.17	0	0.265747	0.176514	-0.163208	-0.783203	-1.69617	-2.77283	-4.15552	-5.70081	-7.44141	-9.26904	-11.2477	-13.4406	-15.7864	-18.3132	-21.0049	-23.8109	-26.4951	-29.5123	-32.481	-35.5801	-38.7096	-41.8752	-45.3058	-48.5814
647000	2000	0	0.265747	0.176514	-0.163208	-0.783203	-1.69617	-2.77283	-4.15552	-5.70081	-7.44141	-9.26904	-11.2477	-13.4406	-15.7865	-18.3132	-21.0054	-23.8112	-26.4956	-29.5128	-32.4817	-35.5809	-38.7101	-41.8757	-45.3062	-48.5815
648000	1847.48	0	0.265747	0.176514	-0.163208	-0.783203	-1.69617	-2.77283	-4.15552	-5.70081	-7.44141	-9.26904	-11.2477	-13.4406	-15.7865	-18.3132	-21.0054	-23.8114	-26.4957	-29.5132	-32.4819	-35.5812	-38.7111	-41.877	-45.3069	-48.5823
649000	2000	0	0.265747	0.176514	-0.163208	-0.783203	-1.69617	-2.77283	-4.15552	-5.70081	-7.44141	-9.26904	-11.2477	-13.4406	-15.7865	-18.3132	-21.0055	-23.8114	-26.4957	-29.5133	-32.4822	-35.5812	-38.7114	-41.8778	-45.3081	-48.5842
650000	1345.17	0	0.265747	0.176514	-0.163208	-0.783203	-1.69617	-2.77283	-4.15552	-5.70081	-7.44141	-9.26904	-11.2477	-13.4406	-15.7865	-18.3132	-21.0055	-23.8115	-26.4961	-29.5138	-32.4827	-35.5814	-38.7117	-41.8785	-45.3086	-48.5859
651000	1147.83	0	0.265747	0.176514	-0.163208	-0.783203	-1.69617	-2.77283	-4.15552	-5.70081	-7.44141	-9.26904	-11.2477	-13.4409	-15.7866	-18.3137	-21.0063	-23.8123	-26.4966	-29.5143	-32.4833	-35.5815	-38.712	-41.8788	-45.3086	-48.5859
652000	1456.22	0	0.265747	0.176514	-0.163208	-0.783203	-1.69617	-2.77283	-4.15552	-5.70081	-7.44141	-9.26904	-11.2477	-13.4409	-15.7866	-18.3137	-21.0065	-23.8123	-26.4968	-29.5144	-32.4834	-35.5823	-38.7125	-41.8798	-45.3096	-48.587
653000	835.745	0	0.265747	0.176514	-0.163208	-0.783203	-1.69617	-2.77307	-4.15588	-5.70117	-7.44177	-9.26917	-11.2482	-13.4413	-15.7875	-18.3143	-21.0068	-23.8126	-26.4969	-29.5145	-32.4835	-35.5823	-38.7125	-41.8798	-45.3096	-48.587
654000	904.741	0	0.265747	0.176514	-0.163208	-0.783203	-1.69629	-2.77319	-4.15588	-5.70129	-7.44202	-9.26929	-11.2487	-13.4419	-15.7878	-18.3157	-21.0073	-23.8131	-26.4972	-29.5145	-32.4835	-35.5824	-38.7125	-41.8798	-45.3096	-48.587
655000	1147.83	0	0.265747	0.176514	-0.163208	-0.783203	-1.69641	-2.77319	-4.15588	-5.70142	-7.44238	-9.26978	-11.2491	-13.442	-15.7888	-18.3165	-21.0077	-23.8134	-26.4977	-29.5146	-32.4835	-35.5825	-38.7125	-41.8798	-45.3096	-48.587
656000	1456.22	0	0.265747	0.176514	-0.163208	-0.783203	-1.69641	-2.77319	-4.15588	-5.70142	-7.44238	-9.2699	-11.2491	-13.442	-15.7891	-18.317	-21.0082	-23.8138	-26.4984	-29.5149	-32.484	-35.5833	-38.7126	-41.8802	-45.3096	-48.5873
657000	1242.59	0	0.265747	0.176514	-0.163208	-0.783203	-1.69641	-2.77319	-4.15588	-5.70142	-7.44238	-9.2699	-11.2491	-13.442	-15.7891	-18.3174	-21.0082	-23.8142	-26.499	-29.5159	-32.4846	-35.5837	-38.713	-41.8813	-45.3096	-48.5873
658000	904.741	0	0.265747	0.176514	-0.163208	-0.783203	-1.69641	-2.77319	-4.15588	-5.70142	-7.44238	-9.27026	-11.2493	-13.4425	-15.7898	-18.3177	-21.0089	-23.8146	-26.4999	-29.5164	-32.4847	-35.5839	-38.7131	-41.8813	-45.3096	-48.5873
659000	979.433	0	0.265747	0.176514	-0.163208	-0.783203	-1.69641	-2.77319	-4.15588	-5.70142	-7.44238	-9.27039	-11.2498	-13.443	-15.7906	-18.3184	-21.0099	-23.8152	-26.5001	-29.5165	-32.4851	-35.5839	-38.7131	-41.8813	-45.3096	-48.5873
660000	1147.83	0	0.265747	0.176514	-0.163208	-0.783203	-1.69641	-2.77319	-4.15588	-5.70142	-7.44238	-9.27039	-11.2498	-13.443	-15.7908	-18.3186	-21.0106	-23.8156	-26.5012	-29.5172	-32.486	-35.5842	-38.7134	-41.8815	-45.3096	-48.5873
661000	904.741	0	0.265747	0.176514	-0.163208	-0.783203	-1.69641	-2.77319	-4.15588	-5.70142	-7.44238	-9.27039	-11.2498	-13.4431	-15.7909	-18.3188	-21.0107	-23.816	-26.5021	-29.5178	-32.4871	-35.5848	-38.7137	-41.8815	-45.3097	-48.5874
662000	904.741	0	0.265747	0.176514	-0.163208	-0.783203	-1.69641	-2.77319	-4.15588	-5.70142	-7.44238	-9.27039	-11.2498	-13.4434	-15.7915	-18.3196	-21.0117	-23.8165	-26.5029	-29.5184	-32.4871	-35.5852	-38.7137	-41.8815	-45.3097	-48.5874
663000	1456.22	0	0.265747	0.176514	-0.163208	-0.783203	-1.69641	-2.77319	-4.15588	-5.70154	-7.44263	-9.27063	-11.2504	-13.4442	-15.7917	-18.3207	-21.012	-23.8165	-26.5034	-29.5187	-32.4873	-35.5853	-38.7139	-41.8815	-45.3097	-48.5874
664000	658.752	0	0.265747	0.176514	-0.163208	-0.783203	-1.69653	-2.77319	-4.15588	-5.70166	-7.44275	-9.27087	-11.2505	-13.4445	-15.7922	-18.3217	-21.0126	-23.8169	-26.5039	-29.5192	-32.4877	-35.5854	-38.7139	-41.8815	-45.3097	-48.5874
665000	519.243	0	0.265747	0.176514	-0.163208	-0.783203	-1.69653	-2.77319	-4.15637	-5.70227	-7.44324	-9.27185	-11.2507	-13.4449	-15.793	-18.3219	-21.0132	-23.8169	-26.5039	-29.5192	-32.4877	-35.5854	-38.7139	-41.8815	-45.3097	-48.5874
666000	772.01	0	0.265747	0.176514	-0.163208	-0.783203	-1.69653	-2.77332	-4.15637	-5.70264	-7.44373	-9.27234	-11.252	-13.4462	-15.7935	-18.322	-21.0134	-23.8169	-26.5039	-29.5192	-32.4878	-35.5854	-38.7139	-41.8815	-45.3097	-48.5874
667000	1147.83	0	0.265747	0.176514	-0.163208	-0.783203	-1.69666	-2.77332	-4.15662	-5.70276	-7.44397	-9.27319	-11.2527	-13.4464	-15.7941	-18.3226	-21.0138	-23.8173	-26.5043	-29.5192	-32.4878	-35.5854	-38.7139	-41.8815	-45.3097	-48.5874
668000	1706.59	0	0.265747	0.176514	-0.163208	-0.783203	-1.69666	-2.77344	-4.15686	-5.70288	-7.44421	-9.27344	-11.2532	-13.4467	-15.7948	-18.3229	-21.0142	-23.8177	-26.5048	-29.5195	-32.4878	-35.5857	-38.714	-41.8816	-45.3097	-48.5874
669000	1147.83	0	0.265747	0.176514	-0.163208	-0.783203	-1.69666	-2.77344	-4.15686	-5.70288	-7.44421	-9.27344	-11.2532	-13.4467	-15.7949	-18.3229	-21.0143	-23.8179	-26.5056	-29.5201	-32.4884	-35.5865	-38.7145	-41.8823	-45.3098	-48.5876
670000	979.433	0	0.265747	0.176514	-0.163208	-0.783203	-1.69666	-2.77344	-4.15686	-5.70288	-7.44421	-9.27344	-11.2532	-13.4467	-15.7949	-18.3231	-21.0149	-23.8182	-26.5065	-29.5211	-32.489	-35.587	-38.715	-41.8824	-45.3098	-48.5878
671000	1345.17	0	0.265747	0.176514	-0.163208	-0.783203	-1.69666	-2.77344	-4.15686	-5.70288	-7.44421	-9.27344	-11.2532	-13.4467	-15.7949	-18.3231	-21.0154	-23.8186	-26.507	-29.5214	-32.4896	-35.5872	-38.7153	-41.8834	-45.3107	-48.5881
672000	1576.44	0	0.265747	0.176514	-0.163208	-0.783203	-1.69666	-2.77344	-4.15686	-5.70288	-7.44421	-9.27344	-11.2532	-13.4467	-15.7949	-18.3231	-21.0156	-23.8191	-26.5076	-29.5223	-32.49	-35.5881	-38.7158	-41.8839	-45.3109	-48.5881
673000	1576.44	0	0.265747	0.176514	-0.163208	-0.783203	-1.69666	-2.77344	-4.15686	-5.70288	-7.44421	-9.27344	-11.2532	-13.4467	-15.7949	-18.3232	-21.0156	-23.8191	-26.5081	-29.5225	-32.4906	-35.589	-38.7173	-41.8845	-45.3114	-48.5883
674000	904.741	0	0.265747	0.176514	-0.163208	-0.783203	-1.69666	-2.77344	-4.15686	-5.70288	-7.44421	-9.27344	-11.2532	-13.4467	-15.7955	-18.3236	-21.016	-23.8193	-26.5084	-29.5228	-32.4918	-35.5896	-38.7174	-41.8848	-45.3116	-48.5884
675000	1147.83	0	0.265747	0.176514	-0.163208	-0.783203	-1.69666	-2.77344	-4.15686	-5.70288	-7.44421	-9.27344	-11.2532	-13.4467	-15.7955	-18.3237	-21.016	-23.8197	-26.509	-29.5232	-32.4926	-35.5907	-38.7184	-41.8851	-45.3119	-48.5884
676000	562.109	0	0.265747	0.176514	-0.163208	-0.783203	-1.69666	-2.77356	-4.15723	-5.703	-7.44446	-9.27368	-11.2534	-13.4476	-15.796	-18.3243	-21.0167	-23.8199	-26.5093	-29.5234	-32.4926	-35.5907	-38.7184	-41.8851	-45.3119	-48.5884
677000	608.515	0	0.265747	0.176514	-0.163208	-0.783203	-1.69666	-2.77356	-4.15735	-5.70349	-7.44482	-9.27393	-11.2539	-13.4487	-15.7968	-18.325	-21.0173	-23.8201	-26.5093	-29.5234	-32.4926	-35.5907	-38.7184	-41.8851	-45.3119	-48.5884
678000	979.433	0	0.265747	0.176514	-0.163208	-0.783203	-1.69666	-2.77393	-4.15759	-5.70386	-7.44507	-9.27454	-11.2543	-13.4492	-15.7972	-18.3253	-21.0179	-23.8202	-26.5095	-29.5237	-32.4926	-35.5908	-38.7184	-41.8851	-45.3119	-48.5884
679000	1847.48	0	0.265747	0.176514	-0.163208	-0.783203	-1.69666	-2.77393	-4.15771	-5.70386	-7.44556	-9.27466	-11.2546	-13.4495	-15.7974	-18.3256	-21.0183	-23.8204	-26.5099	-29.5243	-32.4932	-35.5911	-38.7185	-41.8853	-45.3123	-48.5885
680000	2000	0	0.265747	0.176514	-0.163208	-0.783203	-1.69666	-2.77393	-4.15771	-5.70386	-7.44556	-9.27466	-11.2546	-13.4495	-15.7974	-18.3256	-21.0183	-23.8204	-26.5099	-29.5243	-32.4933	-35.5913	-38.7188	-41.8861	-45.3132	-48.5909
681000	1147.83	0	0.265747	0.176514	-0.163208	-0.783203	-1.69666	-2.77393	-4.15771	-5.70386	-7.44556	-9.27466	-11.2546	-13.4495	-15.7974	-18.3256	-21.0183	-23.8204	-26.5101	-29.5245	-32.4934	-35.5916	-38.719	-41.8872	-45.314	-48.5929
682000	1242.59	0	0.265747	0.176514	-0.163208	-0.783203	-1.69666	-2.77393	-4.15771	-5.70386	-7.44556	-9.27466	-11.2546	-13.4495	-15.7974	-18.3256	-21.0183	-23.8204	-26.5103	-29.5247	-32.4939	-35.5925	-38.7194	-41.8885	-45.3143	-48.594
683000	1706.59	0	0.265747	0.176514	-0.163208	-0.783203	-1.69666	-2.77393	-4.15771	-5.70386	-7.44556	-9.27466	-11.2546	-13.4495	-15.7974	-18.3256	-21.0183	-23.8204	-26.5103	-29.5247	-32.494	-35.5929	-38.7196	-41.889	-45.3156	-48.5964
684000	2000	0	0.265747	0.176514	-0.163208	-0.783203	-1.69666	-2.77393	-4.15771	-5.70386	-7.44556	-9.27466	-11.2546	-13.4495	-15.7974	-18.3256	-21.0183	-23.8204	-26.5104	-29.5249	-32.4943	-35.5933	-38.7203	-41.89	-45.3167	-48.5975
685000	1576.44	0	0.265747	0.176514	-0.163208	-0.783203	-1.69666	-2.77393	-4.15771	-5.70386	-7.44556	-9.27466	-11.2546	-13.4495	-15.7974	-18.3256	-21.0183	-23.8204	-26.5104	-29.5249	-32.4945	-35.5936	-38.7212	-41.8909	-45.3179	-48.5989
686000	1847.48	0	0.265747	0.176514	-0.163208	-0.783203	-1.69666	-2.77393	-4.15771	-5.70386	-7.44556	-9.27466	-11.2546	-13.4495	-15.7974	-18.3256	-21.0183	-23.8204	-26.5104	-29.5249	-32.4945	-35.594	-38.7222	-41.8914	-45.3192	-48.6006
687000	979.433	0	0.265747	0.176514	-0.163208	-0.783203	-1.69666	-2.77393	-4.15771	-5.70386	-7.44556	-9.27466	-11.2548	-13.4495	-15.7975	-18.3257	-21.0186	-23.8208	-26.5105	-29.5256	-32.4949	-35.595	-38.723	-41.8915	-45.3197	-48.6008
688000	562.109	0	0.265747	0.176514	-0.163208	-0.783203	-1.69666	-2.77417	-4.15796	-5.70398	-7.44556	-9.27478	-11.2549	-13.451	-15.7982	-18.3263	-21.019	-23.8209	-26.5107	-29.5258	-32.495	-35.595	-38.723	-41.8915	-45.3197	-48.6008
689000	479.645	0	0.265259	0.176147	-0.163818	-0.783813	-1.69714	-2.77478	-4.15857	-5.70459	-7.44568	-9.2749	-11.2551	-13.451	-15.7982	-18.3263	-21.019	-23.8209	-26.5107	-29.5258	-32.495	-35.595	-38.723	-41.8915	-45.3197	-48.6008
690000	443.067	0	0.265137	0.175903	-0.164062	-0.784546	-1.69836	-2.77588	-4.15869	-5.70508	-7.44604	-9.27515	-11.2551	-13.451	-15.7982	-18.3263	-21.019	-23.8209	-26.5107	-29.5258	-32.495	-35.595	-38.723	-41.8915	-45.3197	-48.6008
691000	479.645	0	0.265137	0.175903	-0.164673	-0.785522	-1.6991	-2.77686	-4.15955	-5.70557	-7.44617	-9.27515	-11.2552	-13.451	-15.7982	-18.3263	-21.019	-23.8209	-26.5107	-29.5258	-32.495	-35.595	-38.723	-41.8915	-45.3197	-48.6008
692000	519.243	0	0.265015	0.175659	-0.164795	-0.785889	-1.69983	-2.77771	-4.16003	-5.70605	-7.4469	-9.27563	-11.2555	-13.451	-15.7982	-18.3263	-21.019	-23.8209	-26.5107	-29.5258	-32.495	-35.595	-38.723	-41.8915	-45.3197	-48.6008
693000	658.752	0	0.265137	0.175415	-0.164795	-0.785889	-1.70007	-2.77795	-4.16028	-5.70642	-7.44714	-9.276	-11.256	-13.4514	-15.7985	-18.3262	-21.0192	-23.8208	-26.5106	-29.5256	-32.4949	-35.5948	-38.7229	-41.8914	-45.3196	-48.6007
694000	1060.29	0	0.265137	0.175415	-0.164795	-0.785889	-1.70007	-2.77795	-4.16028	-5.70667	-7.44714	-9.27698	-11.257	-13.4518	-15.7997	-18.3265	-21.0195	-23.8209	-26.5109	-29.5256	-32.4949	-35.5948	-38.7229	-41.8914	-45.3196	-48.6007
695000	713.136	0	0.265137	0.175415	-0.164795	-0.785889	-1.70007	-2.77795	-4.16028	-5.70667	-7.44714	-9.27734	-11.2573	-13.4526	-15.8004	-18.3269	-21.02	-23.8214	-26.5112	-29.526	-32.4954	-35.5948	-38.7229	-41.8914	-45.3196	-48.6007
696000	562.109	0	0.265137	0.175415	-0.164795	-0.785889	-1.70007	-2.77795	-4.1604	-5.70703	-7.44751	-9.27783	-11.2578	-13.4528	-15.8009	-18.3274	-21.0203	-23.8224	-26.5112	-29.5265	-32.4955	-35.595	-38.7229	-41.8914	-45.3196	-48.6007
697000	1060.29	0	0.265137	0.175415	-0.164795	-0.785889	-1.70007	-2.77795	-4.1604	-5.70728	-7.44775	-9.27795	-11.2581	-13.4536	-15.8021	-18.3281	-21.0206	-23.8231	-26.5114	-29.5265	-32.4955	-35.595	-38.7229	-41.8914	-45.3196	-48.6007
698000	562.109	0	0.265137	0.175415	-0.164795	-0.786011	-1.7002	-2.7782	-4.16064	-5.70801	-7.44861	-9.27832	-11.2588	-13.454	-15.8026	-18.3281	-21.0209	-23.8231	-26.5115	-29.5266	-32.4956	-35.595	-38.7229	-41.8914	-45.3196	-48.6007
699000	713.136	0	0.265137	0.175415	-0.165039	-0.786255	-1.70032	-2.77869	-4.16113	-5.70837	-7.44885	-9.27869	-11.2593	-13.4542	-15.8032	-18.3281	-21.021	-23.8234	-26.512	-29.5267	-32.4956	-35.595	-38.7229	-41.8914	-45.3196	-48.6007
700000	713.136	0	0.265137	0.175415	-0.165039	-0.786377	-1.70056	-2.77917	-4.1615	-5.70862	-7.44995	-9.27893	-11.26	-13.455	-15.8033	-18.3282	-21.021	-23.8235	-26.5122	-29.5267	-32.4956	-35.595	-38.7229	-41.8914	-45.3196	-48.6007
701000	904.741	0	0.265137	0.175415	-0.165039	-0.786499	-1.70056	-2.7793	-4.16223	-5.70984	-7.45129	-9.27942	-11.2604	-13.4551	-15.8036	-18.3284	-21.021	-23.8235	-26.5122	-29.5267	-32.4956	-35.595	-38.7229	-41.8914	-45.3196	-48.6007
702000	772.01	0	0.265137	0.175415	-0.165039	-0.786499	-1.70068	-2.7793	-4.16223	-5.70984	-7.45178	-9.28003	-11.2606	-13.4558	-15.8051	-18.3292	-21.0214	-23.8235	-26.5122	-29.5267	-32.4956	-35.595	-38.7229	-41.8914	-45.3196	-48.6007
703000	658.752	0	0.265137	0.175415	-0.165039	-0.786499	-1.70068	-2.7793	-4.16223	-5.70984	-7.45178	-9.2804	-11.2611	-13.4568	-15.8057	-18.3301	-21.0222	-23.8239	-26.5125	-29.5267	-32.4956	-35.5951	-38.7229	-41.8914	-45.3196	-48.6007
704000	713.136	0	0.265137	0.175415	-0.165039	-0.786499	-1.70068	-2.7793	-4.16223	-5.70984	-7.45178	-9.2804	-11.2614	-13.4573	-15.8064	-18.3311	-21.0231	-23.8245	-26.5131	-29.5269	-32.4957	-35.5952	-38.7229	-41.8914	-45.3196	-48.6007
705000	904.741	0	0.265137	0.175415	-0.165039	-0.786499	-1.70068	-2.7793	-4.16223	-5.70984	-7.4519	-9.2804	-11.2616	-13.4579	-15.8069	-18.3318	-21.0231	-23.8246	-26.5139	-29.5275	-32.496	-35.5956	-38.7231	-41.8916	-45.3196	-48.6007
706000	608.515	0	0.265137	0.175415	-0.165039	-0.786865	-1.70068	-2.77954	-4.16223	-5.71021	-7.45215	-9.28113	-11.262	-13.4585	-15.8074	-18.3323	-21.0236	-23.8248	-26.514	-29.5275	-32.4961	-35.5956	-38.7231	-41.8916	-45.3196	-48.6007
707000	519.243	0	0.265015	0.174927	-0.165161	-0.787109	-1.70142	-2.77991	-4.16309	-5.71082	-7.45251	-9.28162	-11.2625	-13.4585	-15.8074	-18.3323	-21.0236	-23.8248	-26.514	-29.5275	-32.4961	-35.5956	-38.7231	-41.8916	-45.3196	-48.6007
708000	713.136	0	0.265015	0.174927	-0.165283	-0.787109	-1.70154	-2.78027	-4.16333	-5.7124	-7.45288	-9.28247	-11.2631	-13.4587	-15.8076	-18.3324	-21.0236	-23.8248	-26.514	-29.5275	-32.4961	-35.5956	-38.7231	-41.8916	-45.3196	-48.6007
709000	409.278	0	0.265015	0.174927	-0.165405	-0.787354	-1.7019	-2.78015	-4.16382	-5.71301	-7.45312	-9.28271	-11.2633	-13.459	-15.8079	-18.3325	-21.0234	-23.8247	-26.5139	-29.5273	-32.496	-35.5955	-38.723	-41.8915	-45.3195	-48.6006
710000	979.433	0	0.265015	0.174561	-0.166016	-0.78833	-1.70251	-2.78027	-4.16418	-5.71338	-7.45337	-9.28308	-11.2634	-13.4592	-15.808	-18.3328	-21.0236	-23.8247	-26.5139	-29.5273	-32.496	-35.5955	-38.723	-41.8915	-45.3195	-48.6006
711000	904.741	0	0.265015	0.174561	-0.166138	-0.78833	-1.70276	-2.7804	-4.16418	-5.7135	-7.45374	-9.28357	-11.2643	-13.4596	-15.8088	-18.3336	-21.024	-23.8247	-26.5139	-29.5273	-32.496	-35.5955	-38.723	-41.8915	-45.3195	-48.6006
712000	772.01	0	0.265015	0.174561	-0.166138	-0.788452	-1.70276	-2.78101	-4.16431	-5.71387	-7.45447	-9.28406	-11.2646	-13.4602	-15.8093	-18.334	-21.0245	-23.8248	-26.5139	-29.5273	-32.496	-35.5955	-38.723	-41.8915	-45.3195	-48.6006
713000	1147.83	0	0.265015	0.174561	-0.166138	-0.788574	-1.70312	-2.78125	-4.16492	-5.71436	-7.45496	-9.2843	-11.2653	-13.4604	-15.8101	-18.3341	-21.0249	-23.8248	-26.514	-29.5275	-32.496	-35.5955	-38.723	-41.8915	-45.3195	-48.6006
714000	1060.29	0	0.265015	0.174561	-0.166138	-0.788574	-1.70312	-2.78125	-4.16492	-5.71436	-7.45508	-9.28467	-11.2657	-13.4611	-15.8105	-18.3345	-21.0258	-23.8257	-26.5142	-29.5277	-32.4961	-35.5956	-38.7231	-41.8915	-45.3195	-48.6006
715000	1242.59	0	0.265015	0.174561	-0.166138	-0.788574	-1.70312	-2.78137	-4.16504	-5.71448	-7.45532	-9.28467	-11.2659	-13.4611	-15.8109	-18.3353	-21.0269	-23.826	-26.5149	-29.5282	-32.4961	-35.5957	-38.7233	-41.8915	-45.3195	-48.6006
716000	1242.59	0	0.265015	0.174561	-0.166138	-0.788574	-1.70312	-2.78137	-4.16504	-5.71448	-7.45532	-9.28467	-11.2659	-13.4612	-15.811	-18.3357	-21.0271	-23.8265	-26.5154	-29.5294	-32.4963	-35.5967	-38.7236	-41.8917	-45.3195	-48.6006
